#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
50000,99.99999999994834,-1603413.0162516218,300309.8597254955,-1303103.1565261262,298.0433055669011,1342.1818787415489,0.9016894335456032,0
100000,200.00000000022686,-1601333.6646891218,301856.4247302311,-1299477.2399588907,299.57819804997456,1342.1818787415489,0.9016894335456032,55.3
150000,300.00000000070435,-1604770.6178141218,302734.5014690042,-1302036.1163451176,300.44964760545884,1342.1818787415489,0.9016894335456032,55.2
200000,400.00000000118183,-1603890.2428141218,302962.9664212498,-1300927.276392872,300.6763882447296,1342.1818787415489,0.9016894335456032,55.3
250000,500.0000000016593,-1602379.2350016218,302372.87131139287,-1300006.363690229,300.0907468099083,1342.1818787415489,0.9016894335456032,55.3
